ObjectName,ObjectType,PrincipalName,PrincipalType,ActiveDirectoryRights,ACEType,AccessControlType,IsInherited
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
NETWORK CONFIGURATION OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
PERFORMANCE MONITOR USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
PERFORMANCE LOG USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,False
ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,False
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
DISTRIBUTED COM USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,False
PRINT OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,False
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
IIS_IUSRS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,False
BACKUP OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,False
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
CRYPTOGRAPHIC OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteOwner,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,WriteDacl,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,ExtendedRight,All,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,False
REPLICATOR@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,False
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
EVENT LOG READERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
CERTIFICATE SERVICE DCOM ACCESS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
RDS REMOTE ACCESS SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
RDS ENDPOINT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
RDS MANAGEMENT SERVERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
HYPER-V ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
ACCESS CONTROL ASSISTANCE OPERATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
REMOTE MANAGEMENT USERS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteDacl,,AccessAllowed,True
SYSTEM MANAGED ACCOUNTS GROUP@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,ExtendedRight,All,AccessAllowed,True
STORAGE REPLICA ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,Owner,,AccessAllowed,False
STORAGE REPLICA ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,DOMAIN ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,False
STORAGE REPLICA ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Account Operators@cyberspacekittens.local,GROUP,GenericAll,,AccessAllowed,False
STORAGE REPLICA ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,ENTERPRISE ADMINS@CYBERSPACEKITTENS.LOCAL,group,GenericAll,,AccessAllowed,True
STORAGE REPLICA ADMINISTRATORS@CYBERSPACEKITTENS.LOCAL,group,Administrators@cyberspacekittens.local,GROUP,WriteOwner,,AccessAllowed,True
